Unnamed: 0,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
61,Bangladesh Vs Pakistan,Bangladesh,12,Nurul Hasan†,0,3,0,0,0.00,out,T20I # 1872
62,Bangladesh Vs Pakistan,Bangladesh,14,Taskin Ahmed,1,5,0,0,20.00,out,T20I # 1872
63,Bangladesh Vs Pakistan,Bangladesh,16,Nasum Ahmed,7,6,1,0,116.66,out,T20I # 1872
64,Bangladesh Vs Pakistan,Bangladesh,18,Mustafizur Rahman,0,1,0,0,0.00,out,T20I # 1872
65,Bangladesh Vs Pakistan,Pakistan,1,Mohammad Rizwan†,32,32,2,1,100.00,out,T20I # 1872
66,Bangladesh Vs Pakistan,Pakistan,3,Babar Azam(c),25,33,2,0,75.75,out,T20I # 1872
67,Bangladesh Vs Pakistan,Pakistan,5,Mohammad Nawaz,4,11,0,0,36.36,out,T20I # 1872
68,Bangladesh Vs Pakistan,Pakistan,7,Mohammad Haris,31,18,1,2,172.22,out,T20I # 1872
69,Bangladesh Vs Pakistan,Pakistan,9,Shan Masood,24,14,2,0,171.42,out,T20I # 1872
70,Bangladesh Vs Pakistan,Pakistan,10,Iftikhar Ahmed,1,3,0,0,33.33,out,T20I # 1872
71,Bangladesh Vs Pakistan,Pakistan,12,Shadab Khan,0,0,0,0,-,out,T20I # 1872
72,Netherlands Vs South Africa,Netherlands,1,Stephan Myburgh,37,30,7,0,123.33,out,T20I # 1871
73,Netherlands Vs South Africa,Netherlands,3,Max O'Dowd,29,31,1,1,93.54,out,T20I # 1871
74,Netherlands Vs South Africa,Netherlands,5,Tom Cooper,35,19,2,2,184.21,out,T20I # 1871
75,Netherlands Vs South Africa,Netherlands,7,Colin Ackermann,41,26,3,2,157.69,out,T20I # 1871
76,Netherlands Vs South Africa,Netherlands,8,Bas de Leede,1,7,0,0,14.28,out,T20I # 1871
77,Netherlands Vs South Africa,Netherlands,10,Scott Edwards(c)†,12,7,2,0,171.42,out,T20I # 1871
78,Netherlands Vs South Africa,South Africa,1,Quinton de Kock†,13,13,1,1,100.00,out,T20I # 1871
79,Netherlands Vs South Africa,South Africa,3,Temba Bavuma(c),20,20,2,0,100.00,out,T20I # 1871
80,Netherlands Vs South Africa,South Africa,5,Rilee Rossouw,25,19,2,0,131.57,out,T20I # 1871
81,Netherlands Vs South Africa,South Africa,7,Aiden Markram,17,13,2,0,130.76,out,T20I # 1871
82,Netherlands Vs South Africa,South Africa,9,David Miller,17,17,1,0,100.00,out,T20I # 1871
83,Netherlands Vs South Africa,South Africa,11,Heinrich Klaasen,21,18,0,1,116.66,out,T20I # 1871
84,Netherlands Vs South Africa,South Africa,13,Wayne Parnell,0,2,0,0,0.00,out,T20I # 1871
85,Netherlands Vs South Africa,South Africa,15,Keshav Maharaj,13,12,0,1,108.33,out,T20I # 1871
86,Netherlands Vs South Africa,South Africa,17,Kagiso Rabada,9,8,0,0,112.50,out,T20I # 1871
87,Netherlands Vs South Africa,South Africa,18,Anrich Nortje,4,1,1,0,400.00,out,T20I # 1871
88,Sri Lanka Vs England,Sri Lanka,1,Pathum Nissanka,67,45,2,5,148.88,out,T20I # 1867
89,Sri Lanka Vs England,Sri Lanka,3,Kusal Mendis†,18,14,1,1,128.57,out,T20I # 1867
90,Sri Lanka Vs England,Sri Lanka,5,Dhananjaya de Silva,9,11,0,0,81.81,out,T20I # 1867
91,Sri Lanka Vs England,Sri Lanka,7,Charith Asalanka,8,9,0,0,88.88,out,T20I # 1867
92,Sri Lanka Vs England,Sri Lanka,9,Bhanuka Rajapaksa,22,22,3,0,100.00,out,T20I # 1867
93,Sri Lanka Vs England,Sri Lanka,11,Dasun Shanaka(c),3,8,0,0,37.50,out,T20I # 1867
94,Sri Lanka Vs England,Sri Lanka,13,Wanindu Hasaranga,9,9,1,0,100.00,out,T20I # 1867
95,Sri Lanka Vs England,Sri Lanka,15,Chamika Karunaratne,0,2,0,0,0.00,out,T20I # 1867
96,Sri Lanka Vs England,Sri Lanka,17,Maheesh Theekshana,0,0,0,0,-,out,T20I # 1867
97,Sri Lanka Vs England,England,1,Jos Buttler(c)†,28,23,2,1,121.73,out,T20I # 1867
98,Sri Lanka Vs England,England,3,Alex Hales,47,30,7,1,156.66,out,T20I # 1867
99,Sri Lanka Vs England,England,5,Ben Stokes,42,36,2,0,116.66,out,T20I # 1867
100,Sri Lanka Vs England,England,6,Harry Brook,4,5,0,0,80.00,out,T20I # 1867
101,Sri Lanka Vs England,England,8,Liam Livingstone,4,6,0,0,66.66,out,T20I # 1867
102,Sri Lanka Vs England,England,10,Moeen Ali,1,5,0,0,20.00,out,T20I # 1867
103,Sri Lanka Vs England,England,12,Sam Curran,6,11,0,0,54.54,out,T20I # 1867
104,Sri Lanka Vs England,England,14,Chris Woakes,5,3,1,0,166.66,out,T20I # 1867
105,Australia Vs Afghanistan,Australia,1,David Warner,25,18,5,0,138.88,out,T20I # 1864
106,Australia Vs Afghanistan,Australia,3,Cameron Green,3,2,0,0,150.00,out,T20I # 1864
107,Australia Vs Afghanistan,Australia,5,Mitchell Marsh,45,30,3,2,150.00,out,T20I # 1864
108,Australia Vs Afghanistan,Australia,7,Steven Smith,4,4,1,0,100.00,out,T20I # 1864
109,Australia Vs Afghanistan,Australia,9,Marcus Stoinis,25,21,0,2,119.04,out,T20I # 1864
110,Australia Vs Afghanistan,Australia,11,Glenn Maxwell,54,32,6,2,168.75,out,T20I # 1864
111,Australia Vs Afghanistan,Australia,12,Matthew Wade(c)†,6,8,1,0,75.00,out,T20I # 1864
112,Australia Vs Afghanistan,Australia,14,Pat Cummins,0,2,0,0,0.00,out,T20I # 1864
113,Australia Vs Afghanistan,Australia,16,Kane Richardson,1,1,0,0,100.00,out,T20I # 1864
114,Australia Vs Afghanistan,Australia,18,Adam Zampa,1,1,0,0,100.00,out,T20I # 1864
115,Australia Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz†,30,17,2,2,176.47,out,T20I # 1864
116,Australia Vs Afghanistan,Afghanistan,3,Usman Ghani,2,7,0,0,28.57,out,T20I # 1864
117,Australia Vs Afghanistan,Afghanistan,5,Ibrahim Zadran,26,33,2,0,78.78,out,T20I # 1864
118,Australia Vs Afghanistan,Afghanistan,7,Gulbadin Naib,39,23,3,2,169.56,out,T20I # 1864
119,Australia Vs Afghanistan,Afghanistan,9,Mohammad Nabi(c),1,2,0,0,50.00,out,T20I # 1864
120,Australia Vs Afghanistan,Afghanistan,11,Najibullah Zadran,0,2,0,0,0.00,out,T20I # 1864
121,Australia Vs Afghanistan,Afghanistan,13,Darwish Rasooli,15,13,1,0,115.38,out,T20I # 1864
122,Australia Vs Afghanistan,Afghanistan,15,Rashid Khan,48,23,3,4,208.69,out,T20I # 1864
123,Australia Vs Afghanistan,Afghanistan,16,Naveen-ul-Haq,0,0,0,0,-,out,T20I # 1864
124,New Zealand Vs Ireland,New Zealand,1,Finn Allen,32,18,5,1,177.77,out,T20I # 1862
125,New Zealand Vs Ireland,New Zealand,3,Devon Conway†,28,33,2,0,84.84,out,T20I # 1862
126,New Zealand Vs Ireland,New Zealand,5,Kane Williamson(c),61,35,5,3,174.28,out,T20I # 1862
127,New Zealand Vs Ireland,New Zealand,7,Glenn Phillips,17,9,2,1,188.88,out,T20I # 1862
128,New Zealand Vs Ireland,New Zealand,9,Daryl Mitchell,31,21,2,0,147.61,out,T20I # 1862
129,New Zealand Vs Ireland,New Zealand,10,James Neesham,0,1,0,0,0.00,out,T20I # 1862
130,New Zealand Vs Ireland,New Zealand,12,Mitchell Santner,0,1,0,0,0.00,out,T20I # 1862
131,New Zealand Vs Ireland,New Zealand,14,Tim Southee,1,2,0,0,50.00,out,T20I # 1862
132,New Zealand Vs Ireland,Ireland,1,Paul Stirling,37,27,3,1,137.03,out,T20I # 1862
133,New Zealand Vs Ireland,Ireland,3,Andy Balbirnie(c),30,25,0,3,120.00,out,T20I # 1862
134,New Zealand Vs Ireland,Ireland,5,Lorcan Tucker†,13,14,0,0,92.85,out,T20I # 1862
135,New Zealand Vs Ireland,Ireland,7,Harry Tector,2,7,0,0,28.57,out,T20I # 1862
136,New Zealand Vs Ireland,Ireland,9,Gareth Delany,10,8,2,0,125.00,out,T20I # 1862
137,New Zealand Vs Ireland,Ireland,11,George Dockrell,23,15,3,0,153.33,out,T20I # 1862
138,New Zealand Vs Ireland,Ireland,13,Curtis Campher,7,7,1,0,100.00,out,T20I # 1862
139,New Zealand Vs Ireland,Ireland,15,Fionn Hand,5,3,1,0,166.66,out,T20I # 1862
140,New Zealand Vs Ireland,Ireland,17,Mark Adair,4,5,0,0,80.00,out,T20I # 1862
141,New Zealand Vs Ireland,Ireland,19,Barry McCarthy,6,5,0,0,120.00,out,T20I # 1862
142,New Zealand Vs Ireland,Ireland,20,Josh Little,8,4,0,1,200.00,out,T20I # 1862
143,Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan†,4,4,1,0,100.00,out,T20I # 1861
144,Pakistan Vs South Africa,Pakistan,3,Babar Azam(c),6,15,0,0,40.00,out,T20I # 1861
145,Pakistan Vs South Africa,Pakistan,5,Mohammad Haris,28,11,2,3,254.54,out,T20I # 1861
