Unnamed: 0,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
68,Netherlands Vs South Africa,Netherlands,Roelof van der Merwe,2.0,0,19,0,9.5,2,2,0,0,0,T20I # 1871
69,Netherlands Vs South Africa,Netherlands,Brandon Glover,2.0,0,9,3,4.5,5,0,0,1,0,T20I # 1871
70,Netherlands Vs South Africa,Netherlands,Logan van Beek,3.0,0,23,0,7.66,4,1,1,0,0,T20I # 1871
71,Netherlands Vs South Africa,Netherlands,Bas de Leede,3.0,0,25,2,8.33,4,1,0,1,2,T20I # 1871
72,Sri Lanka Vs England,England,Ben Stokes,3.0,0,24,1,8.0,8,1,2,0,0,T20I # 1867
73,Sri Lanka Vs England,England,Chris Woakes,3.0,0,24,1,8.0,5,3,0,1,0,T20I # 1867
74,Sri Lanka Vs England,England,Mark Wood,3.0,0,26,3,8.66,8,1,2,1,0,T20I # 1867
75,Sri Lanka Vs England,England,Sam Curran,4.0,0,27,1,6.75,10,2,1,0,0,T20I # 1867
76,Sri Lanka Vs England,England,Adil Rashid,4.0,0,16,1,4.0,11,0,0,0,0,T20I # 1867
77,Sri Lanka Vs England,England,Liam Livingstone,2.0,0,16,0,8.0,2,0,1,0,0,T20I # 1867
78,Sri Lanka Vs England,England,Moeen Ali,1.0,0,5,0,5.0,1,0,0,0,0,T20I # 1867
79,Sri Lanka Vs England,Sri Lanka,Maheesh Theekshana,4.0,0,22,0,5.5,11,1,0,1,0,T20I # 1867
80,Sri Lanka Vs England,Sri Lanka,Kasun Rajitha,3.0,0,40,0,13.33,4,5,1,2,0,T20I # 1867
81,Sri Lanka Vs England,Sri Lanka,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1,T20I # 1867
82,Sri Lanka Vs England,Sri Lanka,Wanindu Hasaranga,4.0,0,23,2,5.75,11,1,1,0,0,T20I # 1867
83,Sri Lanka Vs England,Sri Lanka,Dhananjaya de Silva,4.0,0,24,2,6.0,7,1,0,0,0,T20I # 1867
84,Sri Lanka Vs England,Sri Lanka,Charith Asalanka,1.0,0,8,0,8.0,1,1,0,0,0,T20I # 1867
85,Australia Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,4.0,0,29,2,7.25,13,4,1,0,0,T20I # 1864
86,Australia Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,4.0,0,42,1,10.5,5,4,1,1,0,T20I # 1864
87,Australia Vs Afghanistan,Afghanistan,Naveen-ul-Haq,4.0,0,21,3,5.25,11,2,0,0,0,T20I # 1864
88,Australia Vs Afghanistan,Afghanistan,Gulbadin Naib,3.0,0,31,0,10.33,6,3,2,0,0,T20I # 1864
89,Australia Vs Afghanistan,Afghanistan,Rashid Khan,4.0,0,29,1,7.25,9,2,1,1,0,T20I # 1864
90,Australia Vs Afghanistan,Afghanistan,Mohammad Nabi,1.0,0,14,0,14.0,1,1,1,0,0,T20I # 1864
91,Australia Vs Afghanistan,Australia,Josh Hazlewood,4.0,0,33,2,8.25,13,2,3,0,0,T20I # 1864
92,Australia Vs Afghanistan,Australia,Pat Cummins,4.0,0,22,0,5.5,12,2,0,0,0,T20I # 1864
93,Australia Vs Afghanistan,Australia,Marcus Stoinis,2.0,0,26,0,13.0,2,2,1,2,0,T20I # 1864
94,Australia Vs Afghanistan,Australia,Kane Richardson,4.0,0,48,1,12.0,4,3,3,1,0,T20I # 1864
95,Australia Vs Afghanistan,Australia,Adam Zampa,4.0,0,22,2,5.5,11,1,0,0,0,T20I # 1864
96,Australia Vs Afghanistan,Australia,Cameron Green,2.0,0,13,0,6.5,7,1,1,0,0,T20I # 1864
97,New Zealand Vs Ireland,Ireland,Josh Little,4.0,0,22,3,5.5,10,2,0,1,0,T20I # 1862
98,New Zealand Vs Ireland,Ireland,Mark Adair,4.0,0,39,1,9.75,9,3,1,3,0,T20I # 1862
